2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar,2024-Apr-May
0.203799825,0.186607684,0.187465906,0.196353337,0.272664047,0.268254314,0.279477874,0.396829028,0.370298,0.532903641,0.704446587,0.770046544,0.814683821,0.818811065,0.851868464,0.855555648,0.873917003,0.923155591
0.203109918,0.187080669,0.186319993,0.207244463,0.28290591,0.319731623,0.363770826,0.566264411,0.375228798,0.610282824,0.72051933,0.783017399,0.78301624,0.848664089,0.85167489,0.871529543,0.873358904,0.924536867
0.203480512,0.186042228,0.209267806,0.20365487,0.28035008,0.295700316,0.329843985,0.39542578,0.369993855,0.609441501,0.641685177,0.815575596,0.82165038,0.83019346,0.896186974,0.834313515,0.872507501,0.923111437
0.206678506,0.187808525,0.188506912,0.196542526,0.281812464,0.296164006,0.357707273,0.367635544,0.537231337,0.610095251,0.721420946,0.81400359,0.812626788,0.819839128,0.829676813,0.85370538,0.865227268,0.924896954
0.203109918,0.186494753,0.185924801,0.207774718,0.282383619,0.297646831,0.35709402,0.399899596,0.536280931,0.609369865,0.720418691,0.814470132,0.814683821,0.819785574,0.885733431,0.859441776,0.875770643,0.92104716
0.204071828,0.194876094,0.18691415,0.207937736,0.28160262,0.299273574,0.354522821,0.398762186,0.538545193,0.533877481,0.715610691,0.77133732,0.815620198,0.847046617,0.86642131,0.853592105,0.869722499,0.915664912
0.210734843,0.186392509,0.186485044,0.19732688,0.280945859,0.284966893,0.359175616,0.549369946,0.370245725,0.642540155,0.716653086,0.769855687,0.814517454,0.819933215,0.823695464,0.852701605,0.866149846,0.924197664
0.242213796,0.186548293,0.186392509,0.236557672,0.257264809,0.272301922,0.354149549,0.404513031,0.370178775,0.610208713,0.72051933,0.770046544,0.814361981,0.82017924,0.891409081,0.877998903,0.886655789,0.924303306
0.242886217,0.186321293,0.186003185,0.20494891,0.258668818,0.267517289,0.354279168,0.403509283,0.526028104,0.609779533,0.716212839,0.747591225,0.792667314,0.768698701,0.870279502,0.86008206,0.873876361,0.923251603
0.213078419,0.18668089,0.193174743,0.19861127,0.272007885,0.298284856,0.302374256,0.397105527,0.525789792,0.609475425,0.730910785,0.769976134,0.814585584,0.819526294,0.852670046,0.839789523,0.889643036,0.924964423
0.224226985,0.186392509,0.194648257,0.200687593,0.263938692,0.295649572,0.30788106,0.39654719,0.856282733,0.642540155,0.720247335,0.773391936,0.781636286,0.820631482,0.860007661,0.8714049,0.874963224,0.923111437
0.202497784,0.186471901,0.186392509,0.19845281,0.282212693,0.295649572,0.279278381,0.362382264,0.858974335,0.608198132,0.72051933,0.783670831,0.813376031,0.849120222,0.86695088,0.87569904,0.873630961,0.921836788
0.202352686,0.18686391,0.195211117,0.199725382,0.262939297,0.292607085,0.346229086,0.397440305,0.602065912,0.642558554,0.720247205,0.76472606,0.765199992,0.860572549,0.867819497,0.872504452,0.873569195,0.920455774
