2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec
0.181373846,0.188498018,0.167428721,0.168196179,,,0.243950154,0.242697337,0.307579012,0.307934271,,
0.168196179,0.188505541,0.168207683,0.168233307,,,0.191767357,0.242169477,0.307715378,0.365134597,,
0.153822797,0.197561181,0.168534913,0.169826822,,,0.240571717,0.242765328,0.307595727,0.339403001,,
0.154955485,0.177250413,0.170012469,0.168142204,,,0.24827262,0.242282382,0.302249484,0.33939944,,
0.154633776,0.216627274,0.169126954,0.169060185,,,0.240270822,0.242117286,0.339397387,0.339462052,,
0.154955485,0.189542444,0.167652673,0.168196179,,,0.241985522,0.242117286,0.336648963,0.339554486,,
0.154179211,0.198450736,0.168073195,0.16789,,,,0.242187506,0.302029361,0.339469269,,
0.157685445,0.188919529,0.168193327,0.167121019,,,,0.24199365,0.33683843,0.33902451,,
0.154541341,0.176435792,0.170160734,0.168196179,,,,0.242196954,0.303910794,0.339363927,,
0.154633776,0.176709622,0.168987801,0.168534913,,,,0.24206544,0.306507566,0.339304618,,
0.154966736,0.188633822,0.168775989,0.168860688,,,,0.242109144,0.303860195,0.339444672,,
0.154955485,0.2438483,0.168196179,0.168469711,,,,0.242244709,0.307606807,0.331509267,,
0.154955485,0.176633677,0.16813503,0.204050263,,,,0.244652607,0.331509267,0.33939944,,
0.155379117,0.176392255,0.219173753,0.169004069,,,,0.242031249,0.300384769,0.3394407,,
0.156034584,0.176838871,0.168196179,0.170822107,,,,0.242391819,0.339328463,0.340365076,,
0.156257017,0.177764804,0.168070533,0.219731203,,,,0.242192702,0.307834215,0.33939944,,
0.153425202,0.181244532,0.177441009,0.168073195,,,,0.242164213,0.333717078,0.339200784,,
0.156792341,0.17628568,0.167121019,0.181373846,,,,0.242117286,0.307455162,0.340296697,,
0.154541341,0.202036079,0.168697723,0.168196179,,,,0.242668921,0.339217844,0.3317826,,
0.15480733,0.189208244,0.168196179,0.154955485,,,,0.242591588,0.339389226,0.343238867,,
0.154179211,0.176205636,0.168704851,0.154955485,,,,0.242072767,0.308337701,0.343085978,,
0.154326847,0.17714175,0.172680937,0.153852452,,,,0.242228001,0.339705569,0.339546876,,
0.157751127,0.176633677,0.168196179,,,,,0.242086775,0.337974356,0.336648963,,
,0.177396855,0.168196179,,,,,0.242310535,0.33941949,0.33939944,,
,0.194406972,0.173240145,,,,,0.242243959,0.33945093,0.33939944,,
,0.174065303,0.168496515,,,,,0.242117286,0.335046882,0.340051419,,
,0.181114782,0.168196179,,,,,0.242288173,0.340063013,0.357347379,,
,,0.169789709,,,,,0.242117286,0.307615139,0.339427079,,
,,0.171324169,,,,,0.242117286,0.336318304,0.340411142,,
,,0.168700356,,,,,0.242117286,0.307228992,0.340151456,,
,,0.168403103,,,,,0.242085244,0.33939944,0.340933702,,
,,0.167914834,,,,,0.242127907,0.339535093,0.33939944,,
,,0.174476961,,,,,0.242091922,0.307566891,0.33939944,,
,,0.167933559,,,,,0.242271511,0.357347379,0.33939944,,
,,0.168391702,,,,,0.242709263,0.337195155,0.339328463,,
,,0.171821307,,,,,0.243905973,0.33939944,0.339402618,,
,,0.168322319,,,,,0.242091867,0.33939944,0.339402941,,
,,0.168196179,,,,,0.242308805,0.339116377,0.339487479,,
,,0.169244081,,,,,0.242398294,0.339501531,0.341443045,,
,,0.167121019,,,,,0.242207538,0.337635302,0.33936942,,
,,0.169926187,,,,,0.242117286,0.33939944,0.339934586,,
