2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Apr-Jun,2023-Oct-Dec,2024-Jan-Mar,2024-Apr-May
0.224030278,0.209328104,0.207713304,0.218824008,0.26683745,0.26683745,0.380995838,0.404819588,0.543161076,0.650589954,0.726203238,0.774194966,0.785845554,0.86474209,0.856298612,0.915786354,0.90570376,0.931913652
0.22152299,0.209344232,0.207157836,0.222191436,0.257520086,0.257520086,0.3856828,0.405371616,0.543438374,0.712033964,0.72626212,0.7227262,0.797478482,0.864704996,0.879635346,0.916079676,0.903757026,0.915012546
0.222475286,0.207188292,0.207584872,0.21895638,0.261684066,0.261684066,0.381251228,0.406638976,0.543438374,0.6499922,0.741574896,0.791280698,0.796664728,0.86453525,0.86130577,0.90150327,0.903676678,0.934624566
0.2204375,0.216815924,0.208072068,0.22794852,0.26495288,0.26495288,0.381086022,0.405371616,0.53023624,0.650386414,0.723038316,0.723833264,0.79094659,0.857590448,0.842636276,0.916079676,0.901669756,0.936162708
0.22089945,0.207446164,0.206963684,0.218985078,0.293723072,0.293723072,0.380630402,0.406259062,0.543438374,0.65002316,0.725937956,0.776357406,0.762996088,0.85094296,0.844464968,0.911254618,0.903040014,0.923159882
0.221657588,0.207157836,0.207157836,0.218283258,0.265125728,0.265125728,0.381443452,0.399151062,0.530335264,0.649953672,0.7100575,0.7426401,0.79666636,0.848822188,0.879688864,0.915472282,0.901214348,0.931261018
0.225742284,0.207510916,0.210901768,0.21895638,0.261607876,0.261607876,0.3856828,0.405659242,0.540008166,0.636496194,0.726088246,0.517313974,0.775265576,0.84849141,0.907767624,0.91523503,0.89913784,0.927446998
0.221441346,0.20689552,0.219793222,0.220060826,0.261607876,0.261607876,0.384112194,0.392710458,0.3884423,0.651140494,0.727071376,0.533788068,0.752808712,0.848393786,0.879733718,0.913584706,0.904387228,0.929685376
0.221881406,0.207157836,0.207701984,0.221577204,0.265125728,0.265125728,0.384112194,0.399151062,0.388412468,0.636298652,0.72620888,0.51730275,0.722807128,0.848287968,0.84327217,0.834910168,0.904387228,0.926646648
0.221228714,0.207350974,0.207364806,0.21895638,0.263074862,0.263074862,0.381337666,0.391765324,0.388243892,0.614242824,0.726694332,0.741971234,0.787311132,0.848270392,0.850895074,0.871756194,0.874631858,0.93051554
