2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun
,0.206267828,0.287657176,0.21066702,0.292332966,0.23328023,0.292197766,0.370017318,0.362074842,0.599554778,0.699507468,,0.765962072,0.886069246
,0.20200885,0.20200885,0.202174834,0.298945894,0.312691204,0.291774944,0.330893524,0.359157504,0.602266168,0.679052488,,0.842627184,0.88488605
,0.20216752,0.202104914,0.252947948,0.28511606,0.290476246,0.232271298,0.373492302,0.378329974,0.62037052,0.67296845,,0.766245904,0.850954024
,0.20200885,0.202010358,0.202543258,0.292640792,0.29088526,0.234064048,0.369807448,0.51777974,0.622965888,0.70501448,,0.838814312,0.847937052
,0.202282146,0.201931974,0.259852844,0.298945894,0.253577244,0.29219928,0.376602522,0.494665354,0.68991965,0.593785372,,0.751699088,0.8848052
,0.20200885,0.20200885,0.252968884,0.292365838,0.297959858,0.292197766,0.346279772,0.5224589,0.60237534,0.701629816,,0.762961398,0.921532772
,0.20200885,0.203416078,0.25310837,0.292796142,0.297900918,0.292440732,0.375277578,0.50339342,0.709033534,0.699415872,,0.75877144,0.84105533
,0.20200885,0.202066522,0.272444456,0.284786578,0.29108928,0.29190362,0.370067968,0.497149658,0.602368866,0.618952702,,0.759727412,0.88383069
,0.202379116,0.21048568,0.21066702,0.224540888,0.291972536,0.318027514,0.372016872,0.497149658,0.602104036,0.67904393,,,0.88261287
,0.201731852,0.203167932,0.287657176,0.234725316,0.29081323,0.316449366,0.373133626,0.497829106,0.599352724,0.698614996,,,0.88627882
,0.201579204,0.20200885,0.253102664,0.233783958,0.290884944,0.315976894,0.37036883,0.5032463,0.599784692,0.672172204,,,0.851769982
,0.202287058,0.201891758,0.251201716,0.224325228,0.290712528,0.319297616,0.372160376,0.503346176,0.601231426,0.698614996,,,0.84157989
,0.201721388,0.201894632,0.202178874,0.266928482,0.261229942,0.311044418,0.370017318,0.503407056,0.6019941,0.593070958,,,0.837767226
,0.204360634,0.20200885,0.202822634,0.284554394,0.260531008,0.324326422,0.372016872,0.374842548,0.67940827,0.616919188,,,0.833509724
,0.202044028,0.20265423,0.202527898,0.266867506,0.278267734,0.337615612,0.37736174,0.374832646,,0.60051152,,,0.84888896
,0.20200885,0.202025866,0.20242438,0.225164266,0.29088465,0.324215168,0.377222232,0.503833212,,0.693830148,,,0.88627882
,0.202470154,,0.211469888,0.228034996,0.290756298,0.374975638,0.373492302,0.50309979,,,,,0.8376719
,0.238723446,,0.202822634,0.315243498,0.291371964,0.297631222,0.36964183,0.4947574,,,,,0.774444012
,0.232088064,,0.210266888,0.224413112,0.284092268,0.324319946,0.332933402,0.503346176,,,,,0.837767226
,0.202266682,,0.253102664,0.289943266,0.31264248,0.296551388,0.381823248,0.49473363,,,,,0.88774064
