2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar
0.2061351,0.213958646,0.20422008,0.204358522,0.24153501,0.285694914,0.29791257,0.371258512,0.374507796,0.60826689,0.700959146,0.778610956,0.785673342,0.848551384,0.70379779,0.92748481,
0.20705907,0.214585356,0.210770346,0.227105128,0.24848902,0.285567216,0.277595664,0.371258512,0.37202648,0.605232912,0.701020906,0.69717008,0.747401132,0.847859464,0.8383271,0.850780914,
0.266332992,0.218744302,0.203401368,0.202879016,0.251698974,0.282390616,0.276908372,0.372756904,0.52550604,0.604851752,0.700639674,0.837789382,0.7209304,0.84963739,0.790181512,0.765048598,
0.269518484,0.271828868,0.207592648,0.220209114,0.250315764,0.286563174,0.296903634,0.368990216,0.599177568,0.604991296,0.70068603,0.696532784,0.74708742,0.74645424,0.89242678,0.843349502,
0.266413552,0.271578228,0.203563252,0.20465081,0.250315764,0.28617685,0.277625206,0.378308574,0.592793222,0.605232912,0.701525324,0.701241388,0.770914378,0.837667322,0.834774874,0.792380084,
0.201956678,0.270815866,0.207757642,0.203255438,0.253761158,0.28811863,0.277227056,0.377456512,0.52560416,0.605118522,0.70100705,0.728922828,0.77944648,0.83752374,0.906342532,0.869895966,
0.202446982,0.272021868,0.214418302,0.204053306,0.258570194,0.286653186,0.277570904,0.371461666,0.596432256,0.605232912,0.7015502,0.712306608,0.75845999,0.787968258,0.81911572,0.838248424,
0.201949524,0.272248522,0.214302056,0.201768202,0.24498946,0.291106022,0.29851842,0.375249972,0.37462598,0.604194294,0.700971254,0.73498772,0.775901856,0.759163266,0.888314838,0.865593958,
0.20200885,0.214839236,0.203315378,0.215426274,0.250315764,0.292848542,0.370245818,0.372532744,0.391761756,0.60508827,0.700995164,0.705270558,0.790884402,0.81677254,0.838212128,0.785623096,
0.202056774,0.214789738,0.203174376,0.315949736,0.263985372,0.285883834,0.320068972,0.371792168,0.37202648,0.605232912,0.70941642,0.696984224,0.737476352,0.844038954,0.841846928,0.865199704,
0.201661116,0.214667982,0.215345458,0.20253503,0.25046625,0.28537474,0.381473946,0.380152732,0.37202648,0.605116296,0.698366854,0.722503968,0.771530308,0.80421601,0.836945286,0.836870142,
0.20699415,0.215048002,0.207732276,0.202831942,0.252150114,0.296974026,0.370017318,0.372052386,0.525377834,0.60527132,0.70088443,0.778612782,0.77432422,0.807708828,0.87762171,0.880010826,
0.20200885,0.286952546,0.214512754,0.20404542,0.244472836,0.300320108,0.373492302,0.371467566,0.506366098,0.606877696,0.70085957,0.778610956,0.776584918,0.81634646,0.887631942,0.849697382,
0.206069446,0.214706426,0.2141924,0.21358925,0.323859404,0.28629487,0.373490758,0.37406949,0.506441824,0.604194294,0.70154804,0.700971254,0.808481372,0.83707708,0.900622918,0.87637723,
0.202313758,0.2142636,0.206003906,0.202425988,0.24848902,0.286538036,0.370577888,0.371619372,0.526081402,0.605316708,0.7015685,0.773880796,0.76831175,0.80735537,,0.867515376,
