2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep
,0.202008872,0.211469926,0.202008872,0.213685254,0.355527904,0.356138686,0.493258102,0.52639982,0.70048082,0.7004315,0.763893814,,,
,0.202922426,0.228949966,0.202073712,0.213484512,0.270785524,0.35614703,0.385396394,0.526215928,0.634192472,0.700946504,0.764078032,,,
,0.202008872,0.201894834,0.202008872,0.211469926,0.356049208,0.356269132,0.518523496,0.374069034,0.647945614,0.724335964,0.764266638,,,
,0.202008872,0.202236,0.201593792,0.20290091,0.356612836,0.28139097,0.507676688,0.593019254,0.60143275,0.374866688,0.813194092,,,
,0.238422176,0.202685368,0.20205676,0.369094824,0.357379766,0.35614703,0.492741224,0.392627848,0.59451852,0.676679158,0.761922132,,,
,0.203552312,0.20343651,0.210667034,0.279172726,0.368882348,0.357990256,0.493259342,0.384037722,0.700280176,0.374069034,0.764503954,,,
,0.211469926,0.230451396,0.202202664,0.279029684,0.356274632,0.320924592,0.507876118,0.525779676,0.70039296,0.677718178,0.77388077,,,
,0.202264526,0.201914096,0.268347102,0.372535164,0.35701358,0.267599432,0.207739478,0.52676412,0.60400228,0.698512892,0.774883314,,,
,0.201808828,0.208263792,0.202008872,0.279385324,0.273376208,0.35574531,0.263622856,0.476698602,0.700532906,0.68568688,0.775170952,,,
,0.202008872,0.202008868,0.25587818,0.25976915,0.267458608,0.356267832,0.208713836,0.51460433,0.373711448,0.7204503,0.773842858,,,
,0.201671504,0.250773354,0.325618918,0.21656301,0.30414776,0.355470584,0.370620292,0.524613208,0.595197648,0.711298838,0.773842858,,,
,0.207046072,0.271180448,0.25314173,0.262425228,0.305509958,0.31991159,0.288743972,0.770534,0.633513448,0.73709226,0.764432532,,,
,0.201894658,0.206609346,0.26672277,0.249426724,0.280557108,0.36860678,0.288020668,0.371496228,0.594702738,0.700303474,0.764071446,,,
,0.202931724,0.202158982,0.263943038,0.229330884,0.355060556,0.362380076,0.257049194,0.700532906,0.59451852,0.70026446,0.760073304,,,
,0.20222875,0.229001096,0.266547004,0.202008872,0.298465896,0.355277732,0.380277608,0.677347182,0.672905474,0.700965464,0.77385677,,,
,0.202008872,0.202710258,0.265361236,0.229449888,0.371013288,0.355486136,0.273930348,0.525909436,0.595197648,0.627713342,0.777522774,,,
,0.202008872,0.245817098,0.26657522,0.272356272,0.370102836,0.356751396,0.373531664,0.505470368,0.69789514,0.701390704,0.76673116,,,
,0.20499748,0.202182036,0.266823374,0.206305548,0.370025956,0.36398358,0.236242872,0.527005644,0.617409898,0.700633328,0.774806482,,,
,0.206275572,0.20201496,0.265093794,0.201428044,0.356550572,0.356458576,0.273947608,0.545483872,0.59439188,0.678162354,0.715909056,,,
,0.201845502,0.201894658,0.264723104,0.266413554,0.355816558,0.35733176,0.264817184,0.526173992,0.70194476,0.718357778,0.770339724,,,
,0.202008872,0.202008872,0.264343952,0.277377738,0.331986618,0.355107594,0.377153372,0.52639982,0.70051961,0.70527057,0.764604626,,,
,0.20778317,0.206115896,0.202561482,0.26666749,0.238412732,0.356745326,0.377153372,0.52582943,0.700421314,0.70169597,0.712306606,,,
,0.202111598,0.202316718,0.229868958,0.259667454,0.32249799,0.325893366,0.265213492,0.52639982,0.624804508,0.701444274,0.750265972,,,
,0.202008872,0.20343651,0.213685254,0.266784848,0.3251921,0.265031688,0.265347464,0.505360912,0.615259442,0.70160536,0.701020926,,,
,0.202182036,0.201425264,0.202189018,0.264231308,0.372535164,0.28610668,0.37718354,0.515866404,0.6036669,0.660838698,0.764609372,,,
,0.201995182,0.2405016,0.208467816,0.259984342,0.369430454,0.356417356,0.288020668,0.526862754,0.616853798,0.60905695,0.70660373,,,
,0.201764598,0.202217982,0.229449888,0.202189018,0.369487464,0.356456786,0.264097716,0.505547938,0.620728262,0.61107318,0.70112514,,,
,0.202165368,0.20166111,0.229449888,0.267253328,0.370178968,0.369501096,0.273930348,0.526269676,0.61338016,0.650568248,0.764609372,,,
,0.205516546,0.202008872,0.20332202,0.26468614,0.265177396,0.35674091,0.527994656,0.52639982,0.603209702,0.65937628,,,,
,0.20236921,0.203547986,0.211469926,0.264669218,0.259355462,0.321084312,0.52639982,0.371792198,0.606507926,0.61857293,,,,
,0.202558194,0.202008872,0.201845502,0.26499507,0.372535164,0.356738486,0.73807314,0.526360562,0.565112448,0.603284856,,,,
,0.306029184,0.2021789,0.21306738,0.26461531,0.370002264,0.33150818,0.526218312,0.37219001,0.609629978,0.613536454,,,,
,0.201894658,0.203499326,0.202331388,0.266690208,0.264799812,0.356567338,0.5266793,0.526826912,0.618625046,0.618712268,,,,
,0.239516002,0.201995182,0.20237912,0.26473902,0.369825298,0.356437624,0.376650162,0.527994656,0.567524444,0.56938883,,,,
,0.20300532,0.223270458,0.265301136,0.266651754,0.370351434,0.355710996,0.370890876,0.505671588,0.662207638,0.62591975,,,,
,0.217046676,0.202008872,0.266936376,0.264747,0.26672277,0.356456786,0.37059157,0.526700146,0.637505152,0.67321738,,,,
,0.238434468,0.202319158,0.264499936,0.26499507,0.26697937,0.33103552,0.375541684,0.526401802,0.58493589,0.639682626,,,,
,0.210667034,0.210667034,0.264828052,0.265011752,0.267153852,0.356992184,0.37356509,0.526482752,0.646757278,0.612630644,,,,
,0.202729052,0.214982822,0.266358082,0.273573902,0.365163524,0.31746781,0.378856822,0.5263085,0.63917878,0.571513014,,,,
