2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun
0.155259336,0.154071869,0.153827484,0.30130044,0.216599932,0.279315627,0.275829421,0.243698382,0.302209704,0.342499126,0.389961693,,0.484019736,0.510685299
,0.154217757,0.154388113,0.154179206,0.274762475,0.278939515,0.275596734,0.243149843,0.301054902,0.380836651,0.376998013,,0.433773953,0.477370927
,0.154857667,0.235493205,0.155822856,0.274630618,0.201155686,0.274819075,0.242323832,0.238274114,0.339188755,0.389961693,,0.426649943,0.511152169
,0.154179206,0.154179206,0.153884091,0.27189883,0.260864912,0.274012497,0.301098036,0.237721,0.340658376,0.380024341,,0.482360245,0.510634348
,0.154456547,0.153867344,0.348096909,0.277329625,0.280101771,0.198615323,0.243217344,0.244373385,0.351251028,0.376998013,,0.426696735,0.48687599
,0.154179206,0.154450089,0.154443905,0.274709787,0.278204279,0.199796477,0.242161958,0.303033134,0.352861808,0.392927309,,0.479002663,0.481767646
,0.154102452,0.154349925,0.34339892,0.27189883,0.196675382,0.275000876,0.24486884,0.292723269,0.384231419,0.337772964,,0.426204713,0.510557304
,0.154179206,0.154179206,0.347512897,0.274837683,0.277613259,0.274819075,0.304794235,0.306359722,0.34072639,0.390826729,,0.432209526,0.548310013
,0.154179206,0.156690107,0.34750351,0.274112398,0.277071664,0.274636659,0.244848301,0.301045499,0.392221891,0.389959248,,0.430017617,0.481416012
,0.154179206,0.154932601,0.341181609,0.277362247,0.279600579,0.27593406,0.242444502,0.298554093,0.340724681,0.354000296,,0.430613535,0.510983664
,0.155082821,0.154434749,0.155822856,0.179974999,0.280627341,0.303845082,0.243229629,0.298554093,0.340745705,0.381908394,,,0.510386848
,0.153931819,0.155495335,0.235493205,0.193865769,0.280258483,0.305031688,0.244065347,0.298936819,0.339119865,0.389832417,,,0.510201306
,0.155239899,0.154179206,0.347989025,0.179279002,0.280092309,0.305136035,0.309421997,0.301112373,0.339230613,0.376950232,,,0.4884347
,0.154553614,0.155077364,0.348935106,0.179787402,0.278775222,0.304335734,0.309433918,0.301118776,0.339862225,0.389832417,,,0.480297994
,0.154348551,0.154955512,0.154451047,0.342966871,0.209370785,0.299115108,0.242323832,0.300964075,0.340511335,0.337425316,,,0.474826931
,0.15490888,0.154179206,0.154080125,0.334176106,0.209007907,0.298734196,0.243229629,0.242748828,0.378138817,0.353218267,,,0.472799908
,0.153959599,0.154320067,0.154139063,0.343290189,0.200704088,0.287742984,0.245642252,0.242725491,,0.340734253,,,0.482938817
,0.154179206,0.154008174,0.15458896,0.179743829,0.278808293,0.298662553,0.245493673,0.301385482,,0.388157808,,,0.510201306
,0.154492227,,0.15663857,0.183373448,0.278716929,0.244715537,0.243217344,0.301047749,,,,,0.474804864
,0.224110312,,0.154080125,0.297646443,0.280442729,0.303266744,0.242162325,0.292642305,,,,,0.431545938
,0.196058386,,0.158916557,0.180620397,0.283361094,0.299104078,0.289910597,0.301118776,,,,,0.474826931
,0.15413088,,0.347989025,0.258608254,0.279432612,0.300558783,0.253775499,0.292669038,,,,,0.510441538
