2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep
,0.154323975,0.154150158,0.155129835,0.30995588,0.316772465,0.23635445,0.201221021,0.297335376,0.377141489,0.398938341,0.430786831,0.41633365,,
,0.153898108,0.210504309,0.154294295,0.312081043,0.191767357,0.236458213,0.208878556,0.339903926,0.390471942,0.438851743,0.430946655,0.472583172,,
,0.1545171,0.15487191,0.153774747,0.317314983,0.329158594,0.23583384,0.242028729,0.301089271,0.338721223,0.407579451,0.431997408,0.439608948,,
,0.154025029,0.155839489,0.153785645,0.311510706,0.269081495,0.236278359,0.236666569,0.318940351,0.33549012,0.307760791,0.415080684,0.472850329,,
,0.155457684,0.156723998,0.155346891,0.315907486,0.310310778,0.321235685,0.241276778,0.309139956,0.233061665,0.391001482,0.430946655,0.441677676,,
,0.154179211,0.154483814,0.347312555,0.310170853,0.236337571,0.236713178,0.241341048,0.341034889,0.390475104,0.417495295,0.431019623,0.473348804,,
,0.154152307,0.15811473,0.316772465,0.319134617,0.191767357,0.236215986,0.241272174,0.297081062,0.342927888,0.377985798,0.377707442,0.436864094,,
,0.154857679,0.154512742,0.316541317,0.31728917,0.191913825,0.236294902,0.310073771,0.33232495,0.377390944,0.390863949,0.441173258,,,
,0.157834795,0.156951545,0.311059653,0.317381488,0.269723874,0.236623125,0.241328764,0.308195805,0.381111249,0.338816059,0.437228792,,,
,0.154512742,0.154149216,0.346852871,0.309845427,0.269081495,0.236279865,0.300358155,0.358653178,0.375189693,0.391032623,0.400476851,,,
,0.154147969,0.153862202,0.316207589,0.342573015,0.203644844,0.236671702,0.3002985,0.303754022,0.349289629,0.389777636,0.43877555,,,
,0.154492995,0.154179211,0.154033473,0.319754756,0.338472732,0.23634339,0.306819456,0.342927888,0.38929604,0.391259802,0.43883525,,,
,0.171332572,0.154179211,0.155128842,0.155082823,0.344449794,0.23577801,0.299694686,0.341812649,0.376322026,0.405612389,0.432874209,,,
,0.159226185,0.156549872,0.154024624,0.349689758,0.345283235,0.236404247,0.313266154,0.289265461,0.38738778,0.405566026,0.43131305,,,
,0.156646547,0.153978131,0.31112433,0.154135959,0.269031705,0.236362454,0.297385588,0.316850281,0.381385128,0.422006435,0.432882786,,,
,0.167914834,0.154179211,0.153335615,0.153914477,0.235864915,0.236481186,0.248882928,0.274242719,0.377469779,0.391055755,0.437177333,,,
,0.154033473,0.167914834,0.236104629,0.192591437,0.154418215,0.236856586,0.297335376,0.305003424,0.237715485,0.391285242,0.440003391,,,
,0.186580427,0.154524014,0.154471329,0.17112916,0.236366769,0.236288603,0.308768804,0.307760791,0.300011177,0.391055755,0.438787526,,,
