2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar
0.154252583,0.176986403,0.155592301,0.325773354,0.225471267,0.213366023,0.309861593,0.241889541,0.241846387,0.342060175,0.395347683,0.388091055,0.414761822,0.478652468,0.477104556,0.505371996,
0.157120583,0.177404906,0.195064993,0.154356684,0.191341724,0.213761646,0.246665921,0.244652608,0.241846387,0.342286713,0.389777614,0.404637861,0.437082582,0.458122294,0.475210257,0.484841561,
0.156962171,0.177808387,0.15806879,0.154490299,0.192360191,0.29766511,0.242323832,0.241746191,0.307554565,0.342150651,0.390965189,0.440942887,0.43827664,0.46006583,0.506118787,0.505552678,
0.154179206,0.239893136,0.170604276,0.154775643,0.191218802,0.214807662,0.243217344,0.24139325,0.301944942,0.342529623,0.390902533,0.441122515,0.439575383,0.466222955,0.5125779,0.491488999,
0.155839501,0.176886464,0.170009682,0.153047697,0.291968814,0.21325195,0.243276242,0.242222977,0.301940261,0.341972404,0.391264409,0.391032615,0.457028029,0.484611015,0.517432351,0.50203341,
0.154527214,0.175116212,0.16315993,0.156155695,0.185058392,0.213735821,0.24291396,0.241270644,0.307857679,0.342076082,0.391348587,0.438851753,0.435036708,0.459962945,,0.50326423,
0.170196616,0.176505854,0.155919823,0.160189236,0.187225812,0.212815295,0.246780491,0.241418861,0.308259408,0.353108118,0.391118605,0.441122564,0.435154889,0.505265212,,0.520090748,
0.154179206,0.213088603,0.154481652,0.153207703,0.187746107,0.215137755,0.243269043,0.250836827,0.307641291,0.341891309,0.389777614,0.432874212,0.473144168,0.48225408,,0.477830975,
0.154179206,0.174850813,0.16854877,0.159685053,0.199680206,0.213193451,0.243217344,0.243344923,0.338078346,0.341935034,0.41504031,0.443415958,0.474863929,0.473187064,,0.459377556,
0.154179206,0.176895171,0.156911166,0.155822856,0.185301758,0.222694288,0.242253257,0.242035236,0.339399444,0.341972854,0.391036092,0.432908504,0.442732681,0.426640152,,0.474676065,
