2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023_Jul-Sep,2023_Oct-Dec,2024-Jan-Mar,2024-Apr-Jun
0.154955485,0.154663817,0.172151306,0.154575744,0.24311565,0.344553491,0.245807943,0.244866872,0.243176678,0.339734898,0.409925996,0.415577008,0.478535277,0.472924154,0.507312499,0.500964494,,
0.154742097,0.193274141,0.154935725,0.154575744,0.309219812,0.340358366,0.245807943,0.243261904,0.244274413,0.339344731,0.175485782,0.381600595,0.476037553,0.476845498,0.48707946,0.501668433,,
0.219794523,0.194505596,0.154232256,0.155384594,0.301199895,0.194341431,0.245620575,0.243239262,0.246245944,0.339363449,0.393124826,0.431466259,0.473396311,0.511009357,0.522596212,0.501792383,,
0.154691405,0.194977758,0.157359564,0.156962079,0.300330597,0.194290812,0.25029047,0.243239262,0.24593743,0.365042509,0.391253243,0.401905695,0.483087071,0.504914389,0.537724481,0.535654903,,
0.155684507,0.171540674,0.154180969,0.154137693,0.24269075,0.195455803,0.246359468,0.245083389,0.244627883,0.339480521,0.391135137,0.431488231,0.479747468,0.472721904,0.540656198,0.48222248,,
0.154720785,0.151479503,0.164628847,0.154575744,0.174637991,0.1930543,0.25013682,0.243691673,0.244084689,0.380828839,0.39144732,0.3949853,0.473871971,0.468428308,0.499482777,0.518674108,,
0.153832632,0.153946055,0.191082657,0.155797244,0.253987811,0.194433801,0.245807943,0.244107214,0.244119121,0.384308031,0.240687123,0.42264845,0.474555294,0.502773168,0.499602712,0.518008063,,
0.155423441,0.161461393,0.15397671,0.153980426,0.246319316,0.194434951,0.245648515,0.243415921,0.245639095,0.339371501,0.24000511,0.435699177,0.473640715,0.472818502,0.49811978,0.509767584,,
0.154955485,0.158251459,0.155068478,0.189780928,0.267791429,0.21330311,0.247660188,0.244141415,0.245535426,0.340243722,0.240725798,0.428079027,0.473863013,0.504914389,0.513473073,0.517907325,,
0.154179211,0.157172602,0.245271523,0.158242577,0.162815849,0.194542972,0.303832764,0.243261904,0.244087068,0.339343918,0.240708777,0.395142414,0.441471409,0.473561435,0.521269055,0.517821311,,
0.154179211,0.265618255,0.171215763,0.154140849,0.162144623,0.241063312,0.247219172,0.243297621,0.244093472,0.339172452,0.242622356,0.426664648,0.474549333,0.436733372,0.511885669,0.518855904,,
0.153931036,0.154179211,0.153112382,0.15460048,0.162351741,0.284566746,0.303905871,0.244748586,0.244120788,0.339363449,0.335584224,0.434116149,0.420991789,0.459007277,0.476529067,0.519196052,,
0.155032177,0.154179211,0.191082657,0.154575744,0.162540571,0.241145881,0.309519262,0.243261904,0.244064787,0.33955724,0.338630921,0.454434511,0.445114824,0.437711089,0.544961888,0.534001141,,
0.155145786,0.153852452,0.31703471,0.154575744,0.162247555,0.240916331,0.246838767,0.243449705,0.244087068,0.302096528,0.338105675,0.435336205,0.394121378,0.495898618,0.520309904,0.509767584,,
0.154179211,0.153841064,0.154697984,0.155649229,0.163318404,0.237131538,0.246858704,0.244518315,0.244235124,0.339641127,0.384025979,0.43718785,0.409508345,0.503600836,0.513590107,0.500583912,,
0.155264091,0.1542118,0.154179211,0.190148262,0.162386492,0.237199947,0.246801542,0.244257033,0.253017058,0.33955724,0.336801187,0.397614236,0.444141014,0.504262334,0.488497252,0.516590329,,
0.174363111,0.154179211,0.154710787,0.154575744,0.161534631,0.241774845,0.245816453,0.246577132,0.24378949,0.33955724,0.38853644,0.453377947,0.443479877,0.423027714,0.514503429,0.536973584,,
